subject,arm,timepoint,query,tax_id,parent_tax_id
10,P,0,SRR5580236.1541241,1126951,1985182
10,P,0,SRR5580239.2208920,861448,12333
10,P,0,SRR5580238.181819,38018,12333
10,P,0,SRR5580239.1137275,1289600,12333
10,P,0,SRR5580237.9517431,38018,12333
10,P,0,SRR5580239.92652,1048521,196894
10,P,0,SRR5580239.3086253,1175662,196894
10,P,0,SRR5580236.477170,1486660,196896
10,P,0,SRR5580236.1374602,1084719,686598
10,P,0,SRR5580237.6713956,115992,1914020
10,P,0,SRR5580233.2567975,1435411,79205
10,P,0,SRR5580237.1850191,707757,1985337
10,P,0,SRR5580238.1024329,1034132,2006134
10,P,0,SRR5580238.220820,59241,196894
10,P,0,SRR5580236.830188,1137452,12333
10,P,0,SRR5580237.1096538,994601,196895
10,P,0,SRR5580237.464303,1084719,686598
10,P,0,SRR5580238.1594495,1126951,1985182
10,P,0,SRR5580236.2616219,1279082,196896
10,P,0,SRR5580237.5574332,1204534,196896
10,P,0,SRR5580239.2005789,38018,12333
10,P,0,SRR5580237.7329981,335924,196896
10,P,0,SRR5580236.2149595,1084719,686598
10,P,0,SRR5580233.2702067,1084719,686598
10,P,0,SRR5580239.1277873,1131315,196895
10,P,0,SRR5580233.265503,1034132,2006134
10,P,0,SRR5580238.2104043,1529058,196895
10,P,0,SRR5580237.5740991,75590,79205
10,P,0,SRR5580238.114259,1191380,196894
10,P,0,SRR5580239.2018484,1357712,196894
10,P,0,SRR5580236.1682776,1126951,1985182
10,P,0,SRR5580236.2050255,38018,12333
10,P,0,SRR5580239.741253,38018,12333
10,P,0,SRR5580236.587251,294382,196894
10,P,0,SRR5580237.1323083,1340769,1980930
10,P,0,SRR5580237.6763327,1034130,1983116
10,P,0,SRR5580237.4200837,38018,12333
10,P,0,SRR5580238.227473,38018,12333
10,P,0,SRR5580233.2457114,1211640,196894
10,P,0,SRR5580237.4838363,1168563,329161
10,P,0,SRR5580238.2430267,1034128,2006133
10,P,0,SRR5580237.10105700,571950,12333
10,P,0,SRR5580233.929227,1278479,196896
10,P,0,SRR5580239.2023585,38018,12333
10,P,0,SRR5580238.2088448,1432847,79205
10,P,0,SRR5580237.7767082,38018,12333
10,P,0,SRR5580237.5831108,1131315,196895
10,P,0,SRR5580233.1099069,38018,12333
10,P,0,SRR5580233.1192359,536474,79205
10,P,0,SRR5580238.1575984,861448,12333
10,P,0,SRR5580236.1710998,335924,196896
10,P,0,SRR5580238.1633710,1455074,1913655
10,P,0,SRR5580236.509384,38018,12333
10,P,0,SRR5580237.2975603,75590,79205
10,P,0,SRR5580237.2515753,1279082,196896
10,P,0,SRR5580236.1206342,504346,196894
10,P,0,SRR5580239.2432285,1029988,196894
